date,mean_wind_speed,max_wind_speed,mean_stn_press_k_pa,predominant_wind_dir,avg_air_rh_1m,lat,lon,sunrise,sunset,day_length_hours,cloud_cover_pct
2024-06-21,11.333333333333334,25,101.87933333333334,30,NA,NA,NA,NA,NA,NA,NA
2024-06-22,10.541666666666666,24,101.795,160,NA,69.57,-138.91,NA,NA,24,1
2024-06-23,15.708333333333334,24,101.4225,160,NA,69.57,-138.91,NA,NA,24,NA
2024-06-24,11.130434782608695,24,101.46608695652174,10,NA,69.57,-138.91,NA,NA,24,100
2024-06-25,4.173913043478261,13,101.66521739130435,170,53.37085,69.57,-138.91,NA,NA,24,0
2024-06-26,14.526315789473685,24,101.51368421052632,160,67.663375,69.57,-138.91,NA,NA,24,0
2024-06-27,13,23,101.12166666666667,160,66.2365625,69.57,-138.91,NA,NA,24,25
2024-06-28,15.166666666666666,34,100.54041666666667,160,62.09854166666667,69.57,-138.91,NA,NA,24,NA
2024-06-29,33.458333333333336,47,100.83916666666667,360,72.79360416666667,69.57,-138.91,NA,NA,24,62
2024-06-30,6.958333333333333,28,101.11125,10,69.78341666666667,69.57,-138.91,NA,NA,24,63
2024-07-01,13.333333333333334,35,101.30375,350,78.19445833333333,69.57,-138.91,NA,NA,24,95
2024-07-02,14.083333333333334,26,101.19,140,85.44939583333334,69.57,-138.91,NA,NA,24,41
2024-07-03,8.5,23,100.57,340,93.365875,69.57,-138.91,NA,NA,24,NA
2024-07-04,25,54,100.66916666666667,340,92.02945833333334,69.57,-138.91,NA,NA,24,100
2024-07-05,17.333333333333332,30,100.7075,10,86.5674375,69.57,-138.91,NA,NA,24,50
2024-07-06,25.708333333333332,82,100.205,150,94.58047916666666,69.57,-138.91,NA,NA,24,100
2024-07-07,44.25,71,101.05166666666666,330,81.82233333333333,69.57,-138.91,NA,NA,24,29
2024-07-08,11.583333333333334,21,101.27833333333334,330,64.71052083333333,69.57,-138.91,NA,NA,24,NA
2024-07-09,17.541666666666668,32,100.95625,120,73.0665625,69.57,-138.91,NA,NA,24,11
2024-07-10,24.454545454545453,35,101.16863636363637,110,86.18172916666667,69.57,-138.91,NA,NA,24,25
2024-07-11,17.38095238095238,28,101.20857142857143,120,74.35410416666667,69.57,-138.91,NA,NA,24,0
2024-07-12,22.666666666666668,33,100.86833333333334,120,76.2269375,69.57,-138.91,NA,NA,24,34
2024-07-13,6.541666666666667,18,100.09708333333333,140,66.18116666666667,69.57,-138.91,NA,NA,24,NA
2024-07-14,8.125,21,99.72125,130,74.62258333333334,69.57,-138.91,NA,NA,24,94
2024-07-15,22.52173913043478,42,100.13695652173914,320,74.62025,69.57,-138.91,NA,NA,24,84
2024-07-16,15.625,30,101.07166666666666,110,80.97045833333333,69.57,-138.91,NA,NA,24,69
2024-07-17,19,30,100.84833333333333,120,91.0495,69.57,-138.91,NA,NA,24,80
2024-07-18,10.25,21,101.07958333333333,130,83.64925,69.57,-138.91,NA,NA,24,NA
2024-07-19,10.375,27,101.58583333333334,120,74.65845833333333,69.57,-138.91,NA,NA,24,68
2024-07-20,12.541666666666666,41,102.08791666666667,330,70.14358333333334,69.57,-138.91,NA,NA,24,37
2024-07-21,7.75,21,101.945,120,81.17397916666667,69.57,-138.91,NA,NA,24,37
2024-07-22,12.541666666666666,23,101.92833333333333,20,87.76525,69.57,-138.91,NA,NA,24,100
2024-07-23,13.791666666666666,26,102.13791666666667,40,84.874,69.57,-138.91,NA,NA,24,NA
2024-07-24,9.708333333333334,36,101.41541666666667,330,70.5583125,69.57,-138.91,NA,NA,24,3
2024-07-25,8.833333333333334,19,100.98458333333333,130,74.77508333333333,69.57,-138.91,2024-07-25T09:47:40Z,2024-07-26T08:58:56Z,23.18777777777778,27
2024-07-26,19.666666666666668,30,100.06458333333333,70,88.83975,69.57,-138.91,2024-07-26T10:06:08Z,2024-07-27T08:40:30Z,22.572777777777777,27
2024-07-27,26.291666666666668,32,100.21333333333334,80,94.72189583333333,69.57,-138.91,2024-07-27T10:19:02Z,2024-07-28T08:27:35Z,22.1425,100
2024-07-28,18.47826086956522,24,100.40086956521739,90,90.085625,69.57,-138.91,2024-07-28T10:29:41Z,2024-07-29T08:16:55Z,21.787222222222223,NA
2024-07-29,15.291666666666666,18,100.22833333333334,110,89.57966666666667,69.57,-138.91,2024-07-29T10:39:02Z,2024-07-30T08:07:31Z,21.474722222222223,91
2024-07-30,10.75,18,100.6425,50,NA,69.57,-138.91,2024-07-30T10:47:31Z,2024-07-31T07:58:58Z,21.190833333333337,7
2024-07-31,15.55,32,100.8235,120,NA,69.57,-138.91,2024-07-31T10:55:22Z,2024-08-01T07:51:02Z,20.927777777777777,7
2024-08-01,15.208333333333334,48,100.70583333333333,330,NA,69.57,-138.91,2024-08-01T11:02:45Z,2024-08-02T07:43:34Z,20.68027777777778,94
2024-08-02,20.291666666666668,46,101.84708333333333,310,NA,69.57,-138.91,2024-08-02T11:09:44Z,2024-08-03T07:36:28Z,20.44555555555555,NA
2024-08-03,12.041666666666666,21,101.82083333333334,110,NA,69.57,-138.91,2024-08-03T11:16:24Z,2024-08-04T07:29:39Z,20.220833333333335,61
2024-08-04,12.130434782608695,30,101.52043478260869,100,NA,69.57,-138.91,2024-08-04T11:22:48Z,2024-08-05T07:23:06Z,20.005,15
2024-08-05,9.291666666666666,33,101.27083333333333,120,NA,69.57,-138.91,2024-08-05T11:28:58Z,2024-08-06T07:16:45Z,19.796388888888888,1
2024-08-06,7.666666666666667,25,100.52238095238096,120,NA,69.57,-138.91,2024-08-06T11:34:57Z,2024-08-07T07:10:34Z,19.593611111111112,1
2024-08-07,15.375,34,100.70666666666666,120,NA,69.57,-138.91,2024-08-07T11:40:45Z,2024-08-08T07:04:33Z,19.39666666666667,NA
2024-08-08,13.375,37,100.66375000000001,320,NA,69.57,-138.91,2024-08-08T11:46:24Z,2024-08-09T06:58:40Z,19.204444444444444,73
2024-08-09,24.791666666666668,45,100.56083333333333,320,NA,69.57,-138.91,2024-08-09T11:51:54Z,2024-08-10T06:52:54Z,19.016666666666666,100
2024-08-10,8.916666666666666,19,100.57291666666667,320,NA,69.57,-138.91,2024-08-10T11:57:17Z,2024-08-11T06:47:14Z,18.8325,100
2024-08-11,13,20,99.95739130434782,120,NA,69.57,-138.91,2024-08-11T12:02:34Z,2024-08-12T06:41:39Z,18.65138888888889,97
2024-08-12,10.875,18,100.72458333333333,330,NA,69.57,-138.91,2024-08-12T12:07:44Z,2024-08-13T06:36:10Z,18.47388888888889,NA
2024-08-13,9.714285714285714,25,101.23714285714286,180,NA,69.57,-138.91,2024-08-13T12:12:49Z,2024-08-14T06:30:45Z,18.29888888888889,33
